receiver	direct	receiver-direct
receiver	aliased-import	receiver-aliased-import
receiver	re-export	receiver-re-export
receiver	destructured	receiver-destructured
receiver	shadowed	shadow-receiver
receiver	out-of-scope	out-of-scope-receiver
receiver	reassigned	reassigned-receiver
key	direct	key-direct
key	aliased-import	key-aliased-import
key	re-export	key-re-export
key	destructured	key-destructured
key	shadowed	shadow-key
key	out-of-scope	out-of-scope-key
key	reassigned	reassigned-key
namespace	direct	namespace-direct
namespace	aliased-import	namespace-aliased-import
namespace	re-export	namespace-re-export
namespace	destructured	namespace-destructured
namespace	shadowed	shadow-namespace
namespace	out-of-scope	out-of-scope-namespace
namespace	reassigned	reassigned-namespace
translator	direct	translator-direct
translator	aliased-import	translator-aliased-import
translator	re-export	translator-re-export
translator	destructured	translator-destructured
translator	shadowed	shadow-translator
translator	out-of-scope	out-of-scope-translator
translator	reassigned	reassigned-translator
